"EMPLOYEE_ID","FIRST_NAME","LAST_NAME","EMAIL","MOBILE","HIRE_DATE","MANAGER_ID","JOB_TITLE","NRIC","SALARY"
"107","Summer","Payne","summer.payne@example.com","99592682","07-JUN-16","106","Public Accountant","S6407063C","7435"
"106","Rose","Stephens","rose.stephens@example.com","97288798","07-JUN-16","2","Accounting Manager","S2834521V","11035"
"101","Annabelle","Dunn","annabelle.dunn@example.com","93157910","17-SEP-16","2","Administration Assistant","S8299611X","7693"
"1","Tommy","Bailey","tommy.bailey@example.com","98824462","17-JUN-16","","President","S4366852D","15469"
"3","Blake","Cooper","blake.cooper@example.com","90117612","13-JAN-16","1","Administration Vice President","S1553037J","7132"
"2","Jude","Rivera","jude.rivera@example.com","95180690","21-SEP-16","1","Administration Vice President","S5966852H","9699"
"11","Tyler","Ramirez","tyler.ramirez@example.com","90625173","28-SEP-16","9","Accountant","S5069739R","16677"
"10","Ryan","Gray","ryan.gray@example.com","90154069","16-AUG-16","9","Accountant","S8723402A","9642"
"14","Elliot","Brooks","elliot.brooks@example.com","90382800","07-DEC-16","9","Accountant","S4981629J","14011"
"12","Elliott","James","elliott.james@example.com","94479764","30-SEP-16","9","Accountant","S1098984F","12554"
"13","Albert","Watson","albert.watson@example.com","90275949","07-MAR-16","9","Accountant","S1302632O","14195"
"9","Mohammad","Peterson","mohammad.peterson@example.com","94862266","17-AUG-16","2","Finance Manager","S4781278M","4340"
"104","Harper","Spencer","harper.spencer@example.com","99864734","07-JUN-16","2","Human Resources Representative","S2314504F","5549"
"4","Louie","Richardson","louie.richardson@example.com","93790875","03-JAN-16","3","Programmer","S1648460E","18971"
"5","Nathan","Cox","nathan.cox@example.com","95746573","21-MAY-16","4","Programmer","S3675413E","4115"
"8","Bobby","Torres","bobby.torres@example.com","90133028","07-FEB-16","4","Programmer","S7828982W","17321"
"7","Charles","Ward","charles.ward@example.com","91914832","05-FEB-16","4","Programmer","S2892480G","13616"
"6","Gabriel","Howard","gabriel.howard@example.com","96713299","25-JUN-16","4","Programmer","S8351826V","17130"
"102","Emma","Perkins","emma.perkins@example.com","95753351","17-FEB-16","1","Marketing Manager","S2635543K","12773"
"103","Amelie","Hudson","amelie.hudson@example.com","96741971","17-AUG-16","102","Marketing Representative","S2206325J","7168"
"105","Gracie","Gardner","gracie.gardner@example.com","93832852","07-JUN-16","2","Public Relations Representative","S2837971C","19816"
"17","Frederick","Price","frederick.price@example.com","97146577","24-DEC-16","15","Purchasing Clerk","S6114173H","17182"
"16","Alex","Sanders","alex.sanders@example.com","92020309","18-MAY-16","15","Purchasing Clerk","S8132021T","11352"
"18","Ollie","Bennett","ollie.bennett@example.com","96085902","24-JUL-16","15","Purchasing Clerk","S1577837E","19542"
"19","Louis","Wood","louis.wood@example.com","96797048","15-NOV-16","15","Purchasing Clerk","S7671140K","12347"
"20","Dexter","Barnes","dexter.barnes@example.com","98908111","10-AUG-16","15","Purchasing Clerk","S5923211F","5696"
"15","Rory","Kelly","rory.kelly@example.com","99654903","07-DEC-16","1","Purchasing Manager","S7752492Z","8210"
"49","Isabella","Cole","isabella.cole@example.com","91895746","15-OCT-16","1","Sales Manager","S9033589G","16507"
"48","Jessica","Woods","jessica.woods@example.com","98055346","10-MAR-16","1","Sales Manager","S7730705A","18660"
"47","Ella","Wallace","ella.wallace@example.com","94405763","05-JAN-16","1","Sales Manager","S1083027D","9867"
"46","Ava","Sullivan","ava.sullivan@example.com","95531324","01-OCT-16","1","Sales Manager","S3518014H","19512"
"50","Mia","West","mia.west@example.com","92994346","29-JAN-16","1","Sales Manager","S4565090U","17029"
"56","Evie","Harrison","evie.harrison@example.com","95334519","23-NOV-16","46","Sales Representative","S8921166C","12422"
"57","Scarlett","Gibson","scarlett.gibson@example.com","92427712","30-JAN-16","47","Sales Representative","S3207165B","9055"
"58","Ruby","Mcdonald","ruby.mcdonald@example.com","93665316","04-MAR-16","47","Sales Representative","S7469344Y","13677"
"59","Chloe","Cruz","chloe.cruz@example.com","91571310","01-AUG-16","47","Sales Representative","S3213440R","7579"
"60","Isabelle","Marshall","isabelle.marshall@example.com","98749122","10-MAR-16","47","Sales Representative","S5524408F","17207"
"61","Daisy","Ortiz","daisy.ortiz@example.com","90807554","15-DEC-16","47","Sales Representative","S6031210S","13604"
"62","Freya","Gomez","freya.gomez@example.com","99418981","03-NOV-16","47","Sales Representative","S3342616A","16464"
"80","Elizabeth","Dixon","elizabeth.dixon@example.com","97267164","04-JAN-16","50","Sales Representative","S4399828J","5575"
"64","Florence","Freeman","florence.freeman@example.com","96110108","19-MAR-16","48","Sales Representative","S3548096D","17426"
"65","Alice","Wells","alice.wells@example.com","91461139","24-JAN-16","48","Sales Representative","S3904211A","17897"
"66","Charlotte","Webb","charlotte.webb@example.com","98320248","23-FEB-16","48","Sales Representative","S6456315K","10804"
"67","Sienna","Simpson","sienna.simpson@example.com","93472252","24-MAR-16","48","Sales Representative","S7324694S","4984"
