"First Name","Last Name","NRIC","Hire Date","Manager Name"
"Thea","Hawkins","XXXXX934Q","13-JAN-16","Ronnie"
"Bella","Stone","XXXXX290D","21-JUN-16","Ronnie"
"Amber","Rose","XXXXX486K","23-MAY-16","Ronnie"
"Harriet","Ferguson","XXXXX437W","24-APR-16","Ronnie"
"Hannah","Knight","XXXXX374M","17-MAR-16","Ronnie"
"Eleanor","Grant","XXXXX052X","01-JUL-16","Callum"
"Maisie","Nichols","XXXXX660H","03-MAR-16","Callum"
"Georgia","Mills","XXXXX668T","04-FEB-16","Callum"
"Abigail","Palmer","XXXXX794W","19-DEC-16","Jackson"
"Lilly","Daniels","XXXXX256T","11-JUL-16","Jackson"
"Eliza","Black","XXXXX351I","13-AUG-16","Jackson"
"Jasmine","Hunt","XXXXX614N","14-JUN-16","Jackson"
"Ellie","Robertson","XXXXX402M","07-FEB-16","Liam"
"Molly","Rice","XXXXX375M","24-JUN-16","Liam"
"Emilia","Holmes","XXXXX759X","20-FEB-16","Liam"
"Holly","Shaw","XXXXX304O","27-JAN-16","Liam"
"Erin","Gordon","XXXXX504V","03-FEB-16","Jaxon"
"Ivy","Burns","XXXXX483X","21-JUN-16","Jaxon"
"Willow","Reyes","XXXXX387K","23-FEB-16","Jaxon"
"Lola","Ramos","XXXXX950F","24-JAN-16","Jaxon"
