"First Name","Last Name","NRIC","Hire Date","Manager Name"
"Thea","Hawkins","S4428934Q","13-JAN-16","Ronnie"
"Bella","Stone","S5816290D","21-JUN-16","Ronnie"
"Amber","Rose","S5565486K","23-MAY-16","Ronnie"
"Harriet","Ferguson","S5028437W","24-APR-16","Ronnie"
"Hannah","Knight","S6121374M","17-MAR-16","Callum"
"Eleanor","Grant","S7222052X","01-JUL-16","Callum"
"Maisie","Nichols","S2236660H","03-MAR-16","Callum"
"Georgia","Mills","S2724668T","04-FEB-16","Callum"
"Abigail","Palmer","S7951794W","19-DEC-16","Jackson"
"Lilly","Daniels","S5442256T","11-JUL-16","Jackson"
"Eliza","Black","S2804351I","13-AUG-16","Jackson"
"Jasmine","Hunt","S6020614N","14-JUN-16","Jackson"
"Ellie","Robertson","S6112402M","07-FEB-16","Liam"
"Molly","Rice","S5290375M","24-JUN-16","Liam"
"Emilia","Holmes","S5691759X","20-FEB-16","Liam"
"Holly","Shaw","S2813304O","27-JAN-16","Liam"
"Erin","Gordon","S3582504V","03-FEB-16","Jaxon"
"Ivy","Burns","S3178483X","21-JUN-16","Jaxon"
"Willow","Reyes","S4512387K","23-FEB-16","Jaxon"
"Lola","Ramos","S7107950F","24-JAN-16","Jaxon"
